1,4,2,6,2,29
1,1,3,3,1,15.1
1,4,3,10,0,32.6
1,5,3,15,1,41.7
0,2,2,3,1,12.6
1,3,1,1,2,14.1
1,4,1,13,3,34.7
1,5,0,1,3,13.4
1,5,0,10,3,40.1
1,4,1,12,2,41
1,5,1,10,3,23.6
0,4,1,1,3,13
0,4,3,7,0,26.4
1,2,3,5,0,19
0,1,1,11,3,35.3
0,3,1,7,3,25.7
0,5,2,14,1,33.3
0,4,2,14,0,30.5
1,1,1,10,3,24.2
1,1,1,8,2,25.6
1,1,3,5,1,17.5
1,2,1,1,0,6.2
0,4,0,0,1,8.7
1,1,1,5,1,11.6
1,4,0,13,3,25.8
0,2,0,4,0,7.5
0,4,1,2,2,19.8
1,2,3,14,2,41.7
1,3,1,8,0,23.6
1,3,0,7,2,17.5
1,1,2,1,3,12.1
0,1,3,4,3,20.1
0,5,3,6,2,20.6
1,5,3,15,3,45
1,1,3,1,3,14.1
0,3,1,4,1,10.6
0,4,0,10,1,23.1
0,1,0,14,1,32.2
1,4,3,0,2,12.2
1,2,2,7,2,27.3
0,3,1,14,1,22.1
1,5,1,8,2,20.7
1,1,1,2,1,10.3
1,4,1,13,1,44
1,5,0,5,3,16.4
1,5,1,1,2,14.1
1,5,3,10,2,36.8
1,4,3,13,0,42.5
0,2,3,0,0,6.1
0,1,3,2,3,14.8
0,2,2,5,2,15.1
1,4,1,13,0,26.3
1,1,1,8,2,23.3
1,1,1,2,3,14.6
0,4,1,3,3,19.2
1,3,0,15,1,31.4
0,2,1,12,3,30.7
0,3,1,12,1,28.2
1,4,2,0,1,12.6
0,4,3,14,0,33.1
1,4,2,14,1,39.2
1,1,1,14,3,30.3
0,4,2,5,0,13.6
0,4,2,1,3,13.8
0,4,3,8,3,33.3
0,4,2,9,1,23.9
0,3,3,4,0,15.9
0,5,2,5,1,25
1,4,0,7,0,19.8
1,3,1,13,0,21
1,1,3,11,0,29.6
1,2,1,0,3,8.9
1,3,3,9,3,29.6
0,5,2,5,3,22.6
0,2,3,1,1,8.4
0,1,3,7,0,13.5
1,5,3,9,0,24.8
0,1,2,9,0,20.8
0,4,1,11,3,24.8
1,3,0,5,3,18.5
1,4,1,12,1,26.7
1,1,2,7,1,19.5
1,3,2,8,0,19.3
0,3,1,8,0,12.7
1,3,0,7,1,18
1,5,2,2,2,18.5
0,3,1,3,0,11.2
1,1,1,9,3,22.6
1,4,1,0,0,8.8
1,2,3,9,3,23.5
0,1,3,0,2,11
0,3,1,1,3,12
1,4,2,6,3,26.4
0,2,2,8,1,14.4
0,4,2,12,1,27
1,2,2,7,3,17.5
1,3,3,5,0,15.8
